;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.25;8.57046638029;0.0362584447816;7.96041515498e-08;0.00856733814017;131.26445375;21.0
1;0.396;9.49833601897;0.0466545312047;1.03070003427e-07;0.01215656466;118.631211074;16.0
2;0.498;10.5199689593;0.0156031663401;9.2269029143e-08;0.00489437884783;108.382365796;12.0
3;0.554;10.7753607363;0.000397436335802;1.01149573709e-07;0.000140740115713;106.934044266;10.0
4;0.62;10.685428888;0.00329736186672;1.15336722703e-07;0.00132593534308;110.734684204;8.0
5;0.629;10.685428888;0.00329736186672;1.15336722703e-07;0.00132593534308;110.734684204;8.0
6;0.76;10.2111755743;0.0;4.07100738482e-07;-9999;115.679702638;1.0
