;a;b;di;ht;lev;rh;rmse;spd
36;-9999;-9999;-9999;0.084530268954;0.5;9.12465254796;-9999;-9999
37;-9999;-9999;-9999;0.086984107691;0.5;9.37464302873;-9999;-9999
38;-9999;-9999;-9999;0.0894453031979;0.5;9.62463350949;-9999;-9999
39;-9999;-9999;-9999;0.0919138554709;0.5;9.87462399026;-9999;-9999
40;-9999;-9999;-9999;0.0943897645029;0.5;10.124614471;-9999;-9999
41;-9999;-9999;-9999;0.0968730302866;0.5;10.3746049518;-9999;-9999
42;-9999;-9999;-9999;0.0993636528165;0.5;10.6245954326;-9999;-9999
43;-9999;-9999;-9999;0.101861632083;0.5;10.8745859133;-9999;-9999
44;-9999;-9999;-9999;0.104366968084;0.5;11.1245763941;-9999;-9999
45;-9999;-9999;-9999;0.106879660812;0.5;11.3745668749;-9999;-9999
46;-9999;-9999;-9999;0.109399710258;0.5;11.6245573556;-9999;-9999
47;-9999;-9999;-9999;0.111927116419;0.5;11.8745478364;-9999;-9999
48;-9999;-9999;-9999;0.114461879286;0.5;12.1245383172;-9999;-9999
49;-9999;-9999;-9999;0.117003998854;0.5;12.3745287979;-9999;-9999
50;-9999;-9999;-9999;0.119553475113;0.5;12.6245192787;-9999;-9999
51;-9999;-9999;-9999;0.122110308059;0.5;12.8745097595;-9999;-9999
52;-9999;-9999;-9999;0.124674497687;0.5;13.1245002402;-9999;-9999
53;-9999;-9999;-9999;0.127246043987;0.5;13.374490721;-9999;-9999
54;-9999;-9999;-9999;0.129824946955;0.5;13.6244812017;-9999;-9999
55;-9999;-9999;-9999;0.132411206581;0.5;13.8744716825;-9999;-9999
56;-9999;-9999;-9999;0.135004822863;0.5;14.1244621633;-9999;-9999
57;-9999;-9999;-9999;0.13760579579;0.5;14.374452644;-9999;-9999
58;-9999;-9999;-9999;0.140214125358;0.5;14.6244431248;-9999;-9999
59;-9999;-9999;-9999;0.142829811557;0.5;14.8744336056;-9999;-9999
60;-9999;-9999;-9999;0.145452854384;0.5;15.1244240863;-9999;-9999
61;-9999;-9999;-9999;0.148083253831;0.5;15.3744145671;-9999;-9999
62;-9999;-9999;-9999;0.150721009888;0.5;15.6244050479;-9999;-9999
63;-9999;-9999;-9999;0.153366122553;0.5;15.8743955286;-9999;-9999
64;-9999;-9999;-9999;0.156018591817;0.5;16.1243860094;-9999;-9999
65;-9999;-9999;-9999;0.158678417672;0.5;16.3743764902;-9999;-9999
66;-9999;-9999;-9999;0.161345600112;0.5;16.6243669709;-9999;-9999
67;-9999;-9999;-9999;0.164020139131;0.5;16.8743574517;-9999;-9999
68;-9999;-9999;-9999;0.166702034721;0.5;17.1243479325;-9999;-9999
69;-9999;-9999;-9999;0.169391286876;0.5;17.3743384132;-9999;-9999
70;-9999;-9999;-9999;0.172087895588;0.5;17.624328894;-9999;-9999
71;-9999;-9999;-9999;0.174791860849;0.5;17.8743193748;-9999;-9999
72;-9999;-9999;-9999;0.177503182655;0.5;18.1243098555;-9999;-9999
73;-9999;-9999;-9999;0.180221860996;0.5;18.3743003363;-9999;-9999
74;-9999;-9999;-9999;0.182947895868;0.5;18.6242908171;-9999;-9999
75;-9999;-9999;-9999;0.185681287259;0.5;18.8742812978;-9999;-9999
