;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.25;8.81634869171;0.105586654302;1.95425502921;0.0215072170513;132.149522137;26.0
1;0.396;10.0159520533;0.0635641768423;2.01716517838;0.013646529835;118.776808195;24.0
2;0.498;10.55030223;0.119961547755;1.98065357612;0.0251243560727;108.52043724;25.0
3;0.554;10.6516959785;0.215243718589;2.04241002863;0.04561180279;107.20195913;24.0
4;0.62;10.7538988069;0.184767797467;2.1106655728;0.0398962847494;110.829567041;23.0
5;0.629;10.6491801517;0.146505973841;2.10426472893;0.0314859150329;111.589527255;23.0
6;0.76;10.4332912567;0.0859633902822;2.0533827061;0.0187587550853;116.551828311;23.0
7;1.352;8.75328186468;0.0998908724098;2.0491803123;0.0212584105649;140.849649639;24.0
8;1.432;8.53421850833;0.0635824819242;2.0845425358;0.0138475962475;139.893863415;23.0
9;1.634;8.38860163285;0.133856623603;2.0535818348;0.0283201658683;142.792505659;24.0
10;1.789;6.97726986761;0.0921997826978;2.77231584986;0.0277615405263;146.357758855;13.0
11;2.062;6.28281671296;0.104372073268;2.75753887002;0.0312757591038;133.058353796;13.0
12;2.288;5.12301357693;0.180147027708;2.67637795277;0.052582449333;131.077792213;14.0
13;2.586;3.15564691769;0.0701387171714;3.54128520093;0.0284064194465;123.106795425;8.0
14;2.642;2.47336337121;0.364812929714;4.01699483131;0.177632702449;122.062548799;6.0
15;2.962;1.26249626379;0.100853048392;3.73022299679;0.0437884138467;55.2690365927;7.0
