;a;b;di;elev;ht;rh;rmse;rs;spd
109;-9999;-9999;-9999;0.5;0.282993673409;27.3739576439;-9999;-9999;-9999
110;-9999;-9999;-9999;0.5;0.285984538463;27.6239481246;-9999;-9999;-9999
111;-9999;-9999;-9999;0.5;0.288982759772;27.8739386054;-9999;-9999;-9999
112;-9999;-9999;-9999;0.5;0.291988337329;28.1239290862;-9999;-9999;-9999
113;-9999;-9999;-9999;0.5;0.295001271123;28.3739195669;-9999;-9999;-9999
114;-9999;-9999;-9999;0.5;0.298021561148;28.6239100477;-9999;-9999;-9999
115;-9999;-9999;-9999;0.5;0.301049207397;28.8739005285;-9999;-9999;-9999
116;-9999;-9999;-9999;0.5;0.30408420986;29.1238910092;-9999;-9999;-9999
117;-9999;-9999;-9999;0.5;0.307126568532;29.37388149;-9999;-9999;-9999
118;-9999;-9999;-9999;0.5;0.310176283403;29.6238719708;-9999;-9999;-9999
119;-9999;-9999;-9999;0.5;0.313233354464;29.8738624515;-9999;-9999;-9999
120;-9999;-9999;-9999;0.5;0.31629778171;30.1238529323;-9999;-9999;-9999
121;-9999;-9999;-9999;0.5;0.319369565132;30.3738434131;-9999;-9999;-9999
122;-9999;-9999;-9999;0.5;0.322448704721;30.6238338938;-9999;-9999;-9999
123;-9999;-9999;-9999;0.5;0.325535200469;30.8738243746;-9999;-9999;-9999
124;-9999;-9999;-9999;0.5;0.32862905237;31.1238148554;-9999;-9999;-9999
125;-9999;-9999;-9999;0.5;0.331730260414;31.3738053361;-9999;-9999;-9999
126;-9999;-9999;-9999;0.5;0.334838824594;31.6237958169;-9999;-9999;-9999
127;-9999;-9999;-9999;0.5;0.3379547449;31.8737862977;-9999;-9999;-9999
128;-9999;-9999;-9999;0.5;0.341078021327;32.1237767784;-9999;-9999;-9999
129;-9999;-9999;-9999;0.5;0.344208653865;32.3737672592;-9999;-9999;-9999
130;-9999;-9999;-9999;0.5;0.347346642506;32.62375774;-9999;-9999;-9999
131;-9999;-9999;-9999;0.5;0.350491987241;32.8737482207;-9999;-9999;-9999
132;-9999;-9999;-9999;0.5;0.353644688064;33.1237387015;-9999;-9999;-9999
133;-9999;-9999;-9999;0.5;0.356804744964;33.3737291823;-9999;-9999;-9999
134;-9999;-9999;-9999;0.5;0.359972157936;33.623719663;-9999;-9999;-9999
135;-9999;-9999;-9999;0.5;0.363146926969;33.8737101438;-9999;-9999;-9999
136;-9999;-9999;-9999;0.5;0.366329052058;34.1237006246;-9999;-9999;-9999
137;-9999;-9999;-9999;0.5;0.369518533191;34.3736911053;-9999;-9999;-9999
138;-9999;-9999;-9999;0.5;0.372715370362;34.6236815861;-9999;-9999;-9999
139;-9999;-9999;-9999;0.5;0.375919563561;34.8736720669;-9999;-9999;-9999
140;-9999;-9999;-9999;0.5;0.379131112782;35.1236625476;-9999;-9999;-9999
141;-9999;-9999;-9999;0.5;0.382350018015;35.3736530284;-9999;-9999;-9999
142;-9999;-9999;-9999;0.5;0.385576279252;35.6236435092;-9999;-9999;-9999
143;-9999;-9999;-9999;0.5;0.388809896485;35.8736339899;-9999;-9999;-9999
144;-9999;-9999;-9999;0.5;0.392050869705;36.1236244707;-9999;-9999;-9999
145;-9999;-9999;-9999;0.5;0.395299198904;36.3736149515;-9999;-9999;-9999
146;-9999;-9999;-9999;0.5;0.398554884072;36.6236054322;-9999;-9999;-9999
147;-9999;-9999;-9999;0.5;0.401817925203;36.873595913;-9999;-9999;-9999
148;-9999;-9999;-9999;0.5;0.405088322288;37.1235863938;-9999;-9999;-9999
149;-9999;-9999;-9999;0.5;0.408366075319;37.3735768745;-9999;-9999;-9999
150;-9999;-9999;-9999;0.5;0.411651184284;37.6235673553;-9999;-9999;-9999
151;-9999;-9999;-9999;0.5;0.414943649177;37.8735578361;-9999;-9999;-9999
152;-9999;-9999;-9999;0.5;0.418243469992;38.1235483168;-9999;-9999;-9999
153;-9999;-9999;-9999;0.5;0.421550646715;38.3735387976;-9999;-9999;-9999
154;-9999;-9999;-9999;0.5;0.424865179342;38.6235292784;-9999;-9999;-9999
155;-9999;-9999;-9999;0.5;0.428187067862;38.8735197591;-9999;-9999;-9999
156;-9999;-9999;-9999;0.5;0.431516312266;39.1235102399;-9999;-9999;-9999
157;-9999;-9999;-9999;0.5;0.434852912549;39.3735007207;-9999;-9999;-9999
158;-9999;-9999;-9999;0.5;0.438196868698;39.6234912014;-9999;-9999;-9999
159;-9999;-9999;-9999;0.5;0.441548180705;39.8734816822;-9999;-9999;-9999
160;-9999;-9999;-9999;0.5;0.444906848563;40.1234721629;-9999;-9999;-9999
161;-9999;-9999;-9999;0.5;0.448272872263;40.3734626437;-9999;-9999;-9999
162;-9999;-9999;-9999;0.5;0.451646251795;40.6234531245;-9999;-9999;-9999
163;-9999;-9999;-9999;0.5;0.455026987152;40.8734436052;-9999;-9999;-9999
164;-9999;-9999;-9999;0.5;0.458415078325;41.123434086;-9999;-9999;-9999
165;-9999;-9999;-9999;0.5;0.461810525301;41.3734245668;-9999;-9999;-9999
166;-9999;-9999;-9999;0.5;0.465213328078;41.6234150475;-9999;-9999;-9999
167;-9999;-9999;-9999;0.5;0.468623486642;41.8734055283;-9999;-9999;-9999
168;-9999;-9999;-9999;0.5;0.472041000989;42.1233960091;-9999;-9999;-9999
169;-9999;-9999;-9999;0.5;0.475465871103;42.3733864898;-9999;-9999;-9999
170;-9999;-9999;-9999;0.5;0.478898096981;42.6233769706;-9999;-9999;-9999
171;-9999;-9999;-9999;0.5;0.482337678612;42.8733674514;-9999;-9999;-9999
172;-9999;-9999;-9999;0.5;0.485784615987;43.1233579321;-9999;-9999;-9999
173;-9999;-9999;-9999;0.5;0.489238909098;43.3733484129;-9999;-9999;-9999
174;-9999;-9999;-9999;0.5;0.492700557936;43.6233388937;-9999;-9999;-9999
175;-9999;-9999;-9999;0.5;0.49616956249;43.8733293744;-9999;-9999;-9999
176;-9999;-9999;-9999;0.5;0.499645922753;44.1233198552;-9999;-9999;-9999
177;-9999;-9999;-9999;0.5;0.503129638715;44.373310336;-9999;-9999;-9999
178;-9999;-9999;-9999;0.5;0.506620710368;44.6233008167;-9999;-9999;-9999
179;-9999;-9999;-9999;0.5;0.510119137702;44.8732912975;-9999;-9999;-9999
180;-9999;-9999;-9999;0.5;0.513624920708;45.1232817783;-9999;-9999;-9999
181;-9999;-9999;-9999;0.5;0.517138059377;45.373272259;-9999;-9999;-9999
182;-9999;-9999;-9999;0.5;0.5206585537;45.6232627398;-9999;-9999;-9999
183;-9999;-9999;-9999;0.5;0.524186403667;45.8732532206;-9999;-9999;-9999
184;-9999;-9999;-9999;0.5;0.527721609271;46.1232437013;-9999;-9999;-9999
185;-9999;-9999;-9999;0.5;0.5312641705;46.3732341821;-9999;-9999;-9999
186;-9999;-9999;-9999;0.5;0.534814087347;46.6232246629;-9999;-9999;-9999
