"","lon","lat","h"
"1",295.183333333333,-36.1283333333333,251
"2",295.200114942529,-36.1283333333333,250
"3",295.216896551724,-36.1283333333333,245
"4",295.23367816092,-36.1283333333333,241
"5",295.250459770115,-36.1283333333333,241
"6",295.26724137931,-36.1283333333333,242
"7",295.284022988506,-36.1283333333333,240
"8",295.300804597701,-36.1283333333333,230
"9",295.317586206897,-36.1283333333333,232
"10",295.334367816092,-36.1283333333333,237
"11",295.351149425287,-36.1283333333333,231
"12",295.367931034483,-36.1283333333333,218
"13",295.384712643678,-36.1283333333333,208
"14",295.401494252874,-36.1283333333333,223
"15",295.418275862069,-36.1283333333333,219
"16",295.435057471264,-36.1283333333333,219
"17",295.45183908046,-36.1283333333333,205
"18",295.468620689655,-36.1283333333333,209
"19",295.485402298851,-36.1283333333333,197
"20",295.502183908046,-36.1283333333333,211
"21",295.518965517241,-36.1283333333333,197
"22",295.535747126437,-36.1283333333333,201
"23",295.552528735632,-36.1283333333333,200
"24",295.569310344828,-36.1283333333333,200
"25",295.586091954023,-36.1283333333333,190
"26",295.602873563218,-36.1283333333333,179
"27",295.619655172414,-36.1283333333333,189
"28",295.636436781609,-36.1283333333333,199
"29",295.653218390805,-36.1283333333333,190
"30",295.67,-36.1283333333333,183
"31",295.686781609195,-36.1283333333333,180
"32",295.703563218391,-36.1283333333333,179
"33",295.720344827586,-36.1283333333333,176
"34",295.737126436782,-36.1283333333333,173
"35",295.753908045977,-36.1283333333333,169
"36",295.770689655172,-36.1283333333333,168
"37",295.787471264368,-36.1283333333333,165
"38",295.804252873563,-36.1283333333333,164
"39",295.821034482759,-36.1283333333333,165
"40",295.837816091954,-36.1283333333333,162
"41",295.854597701149,-36.1283333333333,161
"42",295.871379310345,-36.1283333333333,160
"43",295.88816091954,-36.1283333333333,159
"44",295.904942528736,-36.1283333333333,159
"45",295.921724137931,-36.1283333333333,155
"46",295.938505747126,-36.1283333333333,155
"47",295.955287356322,-36.1283333333333,154
"48",295.972068965517,-36.1283333333333,155
"49",295.988850574713,-36.1283333333333,152
"50",296.005632183908,-36.1283333333333,151
"51",296.022413793103,-36.1283333333333,151
"52",296.039195402299,-36.1283333333333,150
"53",296.055977011494,-36.1283333333333,148
"54",296.07275862069,-36.1283333333333,149
"55",296.089540229885,-36.1283333333333,149
"56",296.10632183908,-36.1283333333333,147
"57",296.123103448276,-36.1283333333333,145
"58",296.139885057471,-36.1283333333333,145
"59",296.156666666667,-36.1283333333333,148
"60",295.183333333333,-36.145,244
"61",295.200114942529,-36.145,238
"62",295.216896551724,-36.145,235
"63",295.23367816092,-36.145,238
"64",295.250459770115,-36.145,243
"65",295.26724137931,-36.145,245
"66",295.284022988506,-36.145,243
"67",295.300804597701,-36.145,235
"68",295.317586206897,-36.145,232
"69",295.334367816092,-36.145,245
"70",295.351149425287,-36.145,242
"71",295.367931034483,-36.145,237
"72",295.384712643678,-36.145,228
"73",295.401494252874,-36.145,236
"74",295.418275862069,-36.145,231
"75",295.435057471264,-36.145,225
"76",295.45183908046,-36.145,222
"77",295.468620689655,-36.145,226
"78",295.485402298851,-36.145,214
